Combo_ID,Target_1_Pct,Target_2_Pct,Target_3_Pct,Stop_Loss_Pct,Max_Holding_Days,Enable_Trailing_SL,Trailing_SL_Pct,Trail_Trigger,T1_Book_Pct,T2_Book_Pct,T3_Runner_Pct,Allocation_Profile,Total_Trades,Completed_Trades,Wins,Losses,Win_Rate_Pct,Avg_Return_Pct,Profit_Factor,T1_Hit_Count,T1_Hit_Rate_Pct,T2_Hit_Count,T2_Hit_Rate_Pct,T3_Hit_Count,T3_Hit_Rate_Pct,Trail_SL_Hit_Count,SL_Hit_Count,Best_Stock,Worst_Stock,CSV_File
COMBO_0023,3.5,6.0,10.0,2.0,5,True,2.0,From Entry,50.0,30.0,20.0,Balanced_50_30_20,498,468,260,206,55.6,1.14,3.09,147,31.4,45,9.6,40,8.5,141,279,KALYANIFRG (+5.55%),GATECH (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H5_TSL2.0_Entry_Q1_50_Q2_30.csv
COMBO_0031,3.5,6.0,10.0,2.0,7,True,2.0,From Entry,50.0,30.0,20.0,Balanced_50_30_20,498,468,260,206,55.6,1.14,3.09,144,30.8,42,9.0,43,9.2,141,279,KALYANIFRG (+5.55%),GATECH (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H7_TSL2.0_Entry_Q1_50_Q2_30.csv
COMBO_0039,3.5,6.0,10.0,2.0,10,True,2.0,From Entry,50.0,30.0,20.0,Balanced_50_30_20,498,468,260,206,55.6,1.14,3.09,144,30.8,42,9.0,43,9.2,141,279,KALYANIFRG (+5.55%),GATECH (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H10_TSL2.0_Entry_Q1_50_Q2_30.csv
COMBO_0015,3.5,6.0,10.0,2.0,3,True,2.0,From Entry,50.0,30.0,20.0,Balanced_50_30_20,498,468,260,206,55.6,1.12,3.06,146,31.2,39,8.3,40,8.5,139,279,KALYANIFRG (+5.55%),GATECH (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H3_TSL2.0_Entry_Q1_50_Q2_30.csv
COMBO_0007,3.5,6.0,10.0,2.0,2,True,2.0,From Entry,50.0,30.0,20.0,Balanced_50_30_20,498,468,261,205,55.8,1.09,3.0,142,30.3,40,8.5,37,7.9,138,276,KALYANIFRG (+5.55%),GATECH (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H2_TSL2.0_Entry_Q1_50_Q2_30.csv
COMBO_0024,3.5,6.0,10.0,2.0,5,True,2.0,From Entry,50.0,50.0,0.0,TwoTier_50_50,498,468,260,206,55.6,1.07,2.97,148,31.6,46,9.8,39,8.3,100,279,SHAHALLOYS (+4.75%),GATECH (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H5_TSL2.0_Entry_Q1_50_Q2_50.csv
COMBO_0032,3.5,6.0,10.0,2.0,7,True,2.0,From Entry,50.0,50.0,0.0,TwoTier_50_50,498,468,260,206,55.6,1.07,2.97,148,31.6,46,9.8,39,8.3,100,279,SHAHALLOYS (+4.75%),GATECH (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H7_TSL2.0_Entry_Q1_50_Q2_50.csv
COMBO_0040,3.5,6.0,10.0,2.0,10,True,2.0,From Entry,50.0,50.0,0.0,TwoTier_50_50,498,468,260,206,55.6,1.07,2.97,148,31.6,46,9.8,39,8.3,100,279,SHAHALLOYS (+4.75%),GATECH (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H10_TSL2.0_Entry_Q1_50_Q2_50.csv
COMBO_0016,3.5,6.0,10.0,2.0,3,True,2.0,From Entry,50.0,50.0,0.0,TwoTier_50_50,498,468,260,206,55.6,1.06,2.94,147,31.4,40,8.5,39,8.3,100,279,SHAHALLOYS (+4.75%),GATECH (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H3_TSL2.0_Entry_Q1_50_Q2_50.csv
COMBO_0008,3.5,6.0,10.0,2.0,2,True,2.0,From Entry,50.0,50.0,0.0,TwoTier_50_50,498,468,261,205,55.8,1.03,2.89,142,30.3,40,8.5,37,7.9,99,276,SHAHALLOYS (+4.75%),GATECH (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H2_TSL2.0_Entry_Q1_50_Q2_50.csv
COMBO_0140,3.5,6.0,10.0,1.5,5,True,2.0,After Target 1,50.0,30.0,20.0,Balanced_50_30_20,498,468,200,266,42.7,0.84,1.98,156,33.3,50,10.7,43,9.2,150,266,KALYANIFRG (+5.55%),MOREPENLAB (-1.50%),trades_T1_3.5_T2_6.0_T3_10.0_SL_1.5_H5_TSL2.0_BE_Q1_50_Q2_30.csv
COMBO_0137,3.0,6.0,10.0,1.5,3,True,2.0,After Target 1,50.0,30.0,20.0,Balanced_50_30_20,498,468,217,249,46.4,0.83,2.04,172,36.8,43,9.2,42,9.0,164,248,KALYANIFRG (+5.30%),MODISONLTD (-1.50%),trades_T1_3.0_T2_6.0_T3_10.0_SL_1.5_H3_TSL2.0_BE_Q1_50_Q2_30.csv
COMBO_0138,3.0,6.0,10.0,1.5,5,True,2.0,After Target 1,50.0,30.0,20.0,Balanced_50_30_20,498,468,215,251,45.9,0.83,2.03,172,36.8,49,10.5,42,9.0,166,251,KALYANIFRG (+5.30%),MODISONLTD (-1.50%),trades_T1_3.0_T2_6.0_T3_10.0_SL_1.5_H5_TSL2.0_BE_Q1_50_Q2_30.csv
COMBO_0139,3.5,6.0,10.0,1.5,3,True,2.0,After Target 1,50.0,30.0,20.0,Balanced_50_30_20,498,468,202,264,43.2,0.83,1.99,155,33.1,44,9.4,43,9.2,148,263,KALYANIFRG (+5.55%),MOREPENLAB (-1.50%),trades_T1_3.5_T2_6.0_T3_10.0_SL_1.5_H3_TSL2.0_BE_Q1_50_Q2_30.csv
COMBO_0206,3.5,6.0,10.0,2.0,5,True,2.0,After Target 1,30.0,30.0,40.0,RunnerHeavy_30_30_40,498,468,213,253,45.5,0.83,1.77,167,35.7,53,11.3,44,9.4,160,253,KALYANIFRG (+6.85%),MOREPENLAB (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H5_TSL2.0_BE_Q1_30_Q2_30.csv
