Signal Date,Entry Date,Symbol,Market Cap,Sector,Nifty Open,Nifty Close,Nifty Chg %,Entry Price,Target 1 Price,Target 2 Price,Target 3 Price,Initial SL Price,Final SL Price,Peak High,Peak Gain %,Exit Price,Holding Days,Outcome,Realized Return %,Status
2026-08-31,2026-09-01,MANALIPETC,Smallcap,Energy,24077.55,24055.8,-0.09,84.0,86.94,89.04,92.4,81.48,86.24,88.0,4.76,86.24,1,🛡️ Trailing SL Hit (T1 Booked) (Day 1),3.08,Completed
2026-08-31,2026-09-01,MOREPENLAB,Midcap,Healthcare,24077.55,24055.8,-0.09,106.98,110.73,113.4,117.68,103.77,103.77,110.32,3.12,103.77,1,🛑 Stop Loss Hit (Day 1),-3.0,Completed
2026-08-31,2026-09-01,BLISSGVS,Midcap,Healthcare,24077.55,24055.8,-0.09,614.0,635.49,650.84,675.4,595.58,645.82,659.0,7.33,645.82,2,🎯 T1 & T2 Booked + Trailing SL Hit (Day 2),4.59,Completed
2026-08-31,2026-09-01,MODISONLTD,Smallcap,Industrials,24077.55,24055.8,-0.09,485.0,501.97,514.1,533.5,470.45,470.45,499.45,2.98,470.45,1,🛑 Stop Loss Hit (Day 1),-3.0,Completed
2026-08-31,2026-09-01,IVP,Smallcap,Chemicals,24077.55,24055.8,-0.09,207.0,214.24,219.42,227.7,200.79,200.79,208.95,0.94,200.79,1,🛑 Stop Loss Hit (Day 1),-3.0,Completed
2026-08-31,2026-09-01,IVC,Smallcap,Financials,24077.55,24055.8,-0.09,8.36,8.66,8.87,9.2,8.11,8.57,8.74,4.53,8.57,1,🛡️ Trailing SL Hit (T1 Booked) (Day 1),2.97,Completed
2026-08-31,2026-09-01,SHAHALLOYS,Smallcap,Metals & Mining,24077.55,24055.8,-0.09,107.0,110.74,113.42,117.7,103.79,113.68,116.0,8.41,113.68,1,🎯 T1 & T2 Booked + Trailing SL Hit (Day 1),4.8,Completed
2026-08-31,2026-09-01,KALYANIFRG,Smallcap,Industrials,24077.55,24055.8,-0.09,974.7,1008.81,1033.18,1072.17,945.46,1008.81,1097.15,12.56,1072.17,1,🚀 Target 3 Hit (Day 1),5.55,Completed
2026-08-31,2026-09-01,MAHASTEEL,Smallcap,Metals & Mining,24077.55,24055.8,-0.09,1372.0,1420.02,1454.32,1509.2,1330.84,1392.58,1421.0,3.57,1392.58,1,🛡️ Trailing SL Hit (T1 Booked) (Day 1),2.5,Completed
2026-08-31,2026-09-01,PVP,Smallcap,Realty,24077.55,24055.8,-0.09,67.7,70.07,71.76,74.47,65.67,70.46,71.9,6.2,70.46,1,🎯 T1 & T2 Booked + Trailing SL Hit (Day 1),4.37,Completed
2026-08-31,2026-09-01,ICIL,Midcap,Textiles,24077.55,24055.8,-0.09,470.95,487.43,499.21,518.05,456.82,456.82,471.2,0.05,456.82,1,🛑 Stop Loss Hit (Day 1),-3.0,Completed
2026-08-31,2026-09-01,BODALCHEM,Smallcap,Chemicals,24077.55,24055.8,-0.09,122.0,126.27,129.32,134.2,118.34,128.62,131.25,7.58,128.62,1,🎯 T1 & T2 Booked + Trailing SL Hit (Day 1),4.64,Completed
2026-08-31,2026-09-01,ORIENTBELL,Smallcap,Building Materials,24077.55,24055.8,-0.09,390.4,404.06,413.82,429.44,378.69,405.08,413.35,5.88,405.08,1,🛡️ Trailing SL Hit (T1 Booked) (Day 1),3.63,Completed
2026-08-31,2026-09-01,SHILPAMED,Midcap,Healthcare,24077.55,24055.8,-0.09,949.4,982.63,1006.37,1044.34,920.92,920.92,951.4,0.21,920.92,1,🛑 Stop Loss Hit (Day 1),-3.0,Completed
2026-08-31,2026-09-01,BHAGERIA,Smallcap,Chemicals,24077.55,24055.8,-0.09,263.2,272.41,278.99,289.52,255.3,270.82,276.35,5.0,270.82,2,🛡️ Trailing SL Hit (T1 Booked) (Day 2),3.2,Completed
2026-08-31,2026-09-01,GATECH,Smallcap,I.T,24077.55,24055.8,-0.09,1.05,1.09,1.11,1.15,1.02,1.02,1.05,0.0,1.02,2,🛑 Stop Loss Hit (Day 2),-3.0,Completed
2026-08-31,2026-09-01,STLTECH,Largecap,Industrials,24077.55,24055.8,-0.09,738.0,763.83,782.28,811.8,715.86,715.86,738.0,0.0,715.86,1,🛑 Stop Loss Hit (Day 1),-3.0,Completed
2026-08-31,2026-09-01,CALSOFT,Smallcap,I.T,24077.55,24055.8,-0.09,38.69,40.04,41.01,42.56,37.53,40.26,41.08,6.18,40.26,2,🎯 T1 & T2 Booked + Trailing SL Hit (Day 2),4.36,Completed
2026-08-31,2026-09-01,OFSS,Largecap,I.T,24077.55,24055.8,-0.09,12350.0,12782.25,13091.0,13585.0,11979.5,11979.5,12353.0,0.02,11979.5,2,🛑 Stop Loss Hit (Day 2),-3.0,Completed
2026-08-31,2026-09-01,DIVISLAB,Largecap,Healthcare,24077.55,24055.8,-0.09,9251.5,9575.3,9806.59,10176.65,8973.95,8973.95,9315.0,0.69,9315.0,5,⏱️ Exited at Day 5 Close,0.69,Completed
2026-08-31,2026-09-01,IMPEXFERRO,Smallcap,Metals & Mining,24077.55,24055.8,-0.09,4.46,4.62,4.73,4.91,4.33,4.71,4.81,7.85,4.81,5,🚀 T1 & T2 Booked + Exited Day 5 Close,5.12,Completed
2026-08-31,2026-09-01,CORDSCABLE,Smallcap,Industrials,24077.55,24055.8,-0.09,285.0,294.97,302.1,313.5,276.45,294.97,316.0,10.88,313.5,1,🚀 Target 3 Hit (Day 1),5.55,Completed
2026-08-31,2026-09-01,KIRIINDUS,Smallcap,Chemicals,24077.55,24055.8,-0.09,533.7,552.38,565.72,587.07,517.69,517.69,536.45,0.52,517.69,1,🛑 Stop Loss Hit (Day 1),-3.0,Completed
2026-08-31,2026-09-01,BAFNAPH,Smallcap,Healthcare,24077.55,24055.8,-0.09,307.0,317.74,325.42,337.7,297.79,312.13,318.5,3.75,312.13,1,🛡️ Trailing SL Hit (T1 Booked) (Day 1),2.59,Completed
2026-08-31,2026-09-01,FCL,Midcap,Chemicals,24077.55,24055.8,-0.09,50.95,52.73,54.0,56.04,49.42,49.42,51.25,0.59,49.42,1,🛑 Stop Loss Hit (Day 1),-3.0,Completed
2026-08-31,2026-09-01,VINCOFE,Smallcap,Consumer Discretionary,24077.55,24055.8,-0.09,185.77,192.27,196.92,204.35,180.2,180.2,185.77,0.0,180.2,1,🛑 Stop Loss Hit (Day 1),-3.0,Completed
2026-08-31,2026-09-01,PTCIL,Largecap,Industrials,24077.55,24055.8,-0.09,21860.0,22625.1,23171.6,24046.0,21204.2,22486.1,22945.0,4.96,22486.1,1,🛡️ Trailing SL Hit (T1 Booked) (Day 1),3.18,Completed
2026-08-31,2026-09-01,SHIVALIK,Smallcap,Chemicals,24077.55,24055.8,-0.09,330.5,342.07,350.33,363.55,320.58,337.41,344.3,4.18,337.41,2,🛡️ Trailing SL Hit (T1 Booked) (Day 2),2.8,Completed
2026-08-31,2026-09-01,SHREEPUSHK,Smallcap,Chemicals,24077.55,24055.8,-0.09,468.07,484.46,496.16,514.88,454.03,454.03,468.32,0.05,454.03,1,🛑 Stop Loss Hit (Day 1),-3.0,Completed
2026-08-31,2026-09-01,STEL,Smallcap,Financials,24077.55,24055.8,-0.09,650.0,672.75,689.0,715.0,630.5,666.4,680.0,4.62,666.4,1,🛡️ Trailing SL Hit (T1 Booked) (Day 1),3.01,Completed
2026-08-31,2026-09-01,GROBTEA,Smallcap,FMCG,24077.55,24055.8,-0.09,985.05,1019.53,1044.15,1083.55,955.5,955.5,1000.0,1.52,955.5,5,🛑 Stop Loss Hit (Day 5),-3.0,Completed
2026-08-31,2026-09-01,DYCL,Smallcap,Industrials,24077.55,24055.8,-0.09,493.0,510.25,522.58,542.3,478.21,510.25,560.0,13.59,542.3,1,🚀 Target 3 Hit (Day 1),5.55,Completed
2026-08-31,2026-09-01,SONAMLTD,Smallcap,Consumer Discretionary,24077.55,24055.8,-0.09,79.4,82.18,84.16,87.34,77.02,77.02,80.32,1.16,77.02,1,🛑 Stop Loss Hit (Day 1),-3.0,Completed
2026-08-31,2026-09-01,SUPREMEENG,Smallcap,Metals & Mining,24077.55,24055.8,-0.09,2.88,2.98,3.05,3.17,2.79,2.79,2.88,0.0,2.79,1,🛑 Stop Loss Hit (Day 1),-3.0,Completed
