Signal Date,Entry Date,Symbol,Market Cap,Sector,Nifty Open,Nifty Close,Nifty Chg %,Entry Price,Target 1 Price,Target 2 Price,Target 3 Price,Initial SL Price,Final SL Price,Peak High,Peak Gain %,Exit Price,Holding Days,Outcome,Realized Return %,Status
2026-08-31,2026-09-01,MANALIPETC,Smallcap,Energy,24077.55,24055.8,-0.09,84.0,88.2,92.4,100.8,82.32,82.32,88.0,4.76,82.32,2,🛑 Stop Loss Hit (Day 2),-2.0,Completed
2026-08-31,2026-09-01,MOREPENLAB,Midcap,Healthcare,24077.55,24055.8,-0.09,106.98,112.33,117.68,128.38,104.84,104.84,110.32,3.12,104.84,1,🛑 Stop Loss Hit (Day 1),-2.0,Completed
2026-08-31,2026-09-01,BLISSGVS,Midcap,Healthcare,24077.55,24055.8,-0.09,614.0,644.7,675.4,736.8,601.72,601.72,635.0,3.42,601.72,1,🛑 Stop Loss Hit (Day 1),-2.0,Completed
2026-08-31,2026-09-01,MODISONLTD,Smallcap,Industrials,24077.55,24055.8,-0.09,485.0,509.25,533.5,582.0,475.3,475.3,499.45,2.98,475.3,1,🛑 Stop Loss Hit (Day 1),-2.0,Completed
2026-08-31,2026-09-01,IVP,Smallcap,Chemicals,24077.55,24055.8,-0.09,207.0,217.35,227.7,248.4,202.86,202.86,208.95,0.94,202.86,1,🛑 Stop Loss Hit (Day 1),-2.0,Completed
2026-08-31,2026-09-01,IVC,Smallcap,Financials,24077.55,24055.8,-0.09,8.36,8.78,9.2,10.04,8.2,8.2,10.15,21.3,10.04,3,🚀 Target 3 Hit (Day 3),9.5,Completed
2026-08-31,2026-09-01,SHAHALLOYS,Smallcap,Metals & Mining,24077.55,24055.8,-0.09,107.0,112.35,117.7,128.4,104.86,104.86,116.0,8.41,104.86,4,🛑 SL Hit on Remainder (T1 Booked) (Day 4),1.5,Completed
2026-08-31,2026-09-01,KALYANIFRG,Smallcap,Industrials,24077.55,24055.8,-0.09,974.7,1023.44,1072.17,1169.64,955.21,955.21,1192.25,22.32,1169.64,2,🚀 Target 3 Hit (Day 2),9.5,Completed
2026-08-31,2026-09-01,MAHASTEEL,Smallcap,Metals & Mining,24077.55,24055.8,-0.09,1372.0,1440.6,1509.2,1646.4,1344.56,1344.56,1421.0,3.57,1344.56,1,🛑 Stop Loss Hit (Day 1),-2.0,Completed
2026-08-31,2026-09-01,PVP,Smallcap,Realty,24077.55,24055.8,-0.09,67.7,71.08,74.47,81.24,66.35,66.35,71.9,6.2,66.35,1,🛑 SL Hit on Remainder (T1 Booked) (Day 1),1.5,Completed
